ts_code,name,group_name,enabled
000001.SH,上证指数,major,true
000016.SH,上证50,major,true
000300.SH,沪深300,major,true
000688.SH,科创50,major,true
000852.SH,中证1000,major,true
000905.SH,中证500,major,true
399001.SZ,深证成指,major,true
399006.SZ,创业板指,major,true
399303.SZ,国证2000,major,true
801012.SI,农产品加工(申万),sw_secondary,true
801014.SI,饲料(申万),sw_secondary,true
801015.SI,渔业(申万),sw_secondary,true
801016.SI,种植业(申万),sw_secondary,true
801017.SI,养殖业(申万),sw_secondary,true
801018.SI,动物保健Ⅱ(申万),sw_secondary,true
801019.SI,农业综合Ⅱ(申万),sw_secondary,true
801032.SI,化学纤维(申万),sw_secondary,true
801033.SI,化学原料(申万),sw_secondary,true
801034.SI,化学制品(申万),sw_secondary,true
801036.SI,塑料(申万),sw_secondary,true
801037.SI,橡胶(申万),sw_secondary,true
801038.SI,农化制品(申万),sw_secondary,true
801039.SI,非金属材料Ⅱ(申万),sw_secondary,true
801043.SI,冶钢原料(申万),sw_secondary,true
801044.SI,普钢(申万),sw_secondary,true
801045.SI,特钢Ⅱ(申万),sw_secondary,true
801051.SI,金属新材料(申万),sw_secondary,true
801053.SI,贵金属(申万),sw_secondary,true
801054.SI,小金属(申万),sw_secondary,true
801055.SI,工业金属(申万),sw_secondary,true
801056.SI,能源金属(申万),sw_secondary,true
801072.SI,通用设备(申万),sw_secondary,true
801074.SI,专用设备(申万),sw_secondary,true
801076.SI,轨交设备Ⅱ(申万),sw_secondary,true
801077.SI,工程机械(申万),sw_secondary,true
801078.SI,自动化设备(申万),sw_secondary,true
801081.SI,半导体(申万),sw_secondary,true
801082.SI,其他电子Ⅱ(申万),sw_secondary,true
801083.SI,元件(申万),sw_secondary,true
801084.SI,光学光电子(申万),sw_secondary,true
801085.SI,消费电子(申万),sw_secondary,true
801086.SI,电子化学品Ⅱ(申万),sw_secondary,true
801092.SI,汽车服务(申万),sw_secondary,true
801093.SI,汽车零部件(申万),sw_secondary,true
801095.SI,乘用车(申万),sw_secondary,true
801096.SI,商用车(申万),sw_secondary,true
801101.SI,计算机设备(申万),sw_secondary,true
801102.SI,通信设备(申万),sw_secondary,true
801103.SI,IT服务Ⅱ(申万),sw_secondary,true
801104.SI,软件开发(申万),sw_secondary,true
801111.SI,白色家电(申万),sw_secondary,true
801112.SI,黑色家电(申万),sw_secondary,true
801113.SI,小家电(申万),sw_secondary,true
801114.SI,厨卫电器(申万),sw_secondary,true
801115.SI,照明设备Ⅱ(申万),sw_secondary,true
801116.SI,家电零部件Ⅱ(申万),sw_secondary,true
801117.SI,其他家电Ⅱ(申万),sw_secondary,true
801124.SI,食品加工(申万),sw_secondary,true
801125.SI,白酒Ⅱ(申万),sw_secondary,true
801126.SI,非白酒(申万),sw_secondary,true
801127.SI,饮料乳品(申万),sw_secondary,true
801128.SI,休闲食品(申万),sw_secondary,true
801129.SI,调味发酵品Ⅱ(申万),sw_secondary,true
801131.SI,纺织制造(申万),sw_secondary,true
801132.SI,服装家纺(申万),sw_secondary,true
801133.SI,饰品(申万),sw_secondary,true
801141.SI,包装印刷(申万),sw_secondary,true
801142.SI,家居用品(申万),sw_secondary,true
801143.SI,造纸(申万),sw_secondary,true
801145.SI,文娱用品(申万),sw_secondary,true
801151.SI,化学制药(申万),sw_secondary,true
801152.SI,生物制品(申万),sw_secondary,true
801153.SI,医疗器械(申万),sw_secondary,true
801154.SI,医药商业(申万),sw_secondary,true
801155.SI,中药Ⅱ(申万),sw_secondary,true
801156.SI,医疗服务(申万),sw_secondary,true
801161.SI,电力(申万),sw_secondary,true
801163.SI,燃气Ⅱ(申万),sw_secondary,true
801178.SI,物流(申万),sw_secondary,true
801179.SI,铁路公路(申万),sw_secondary,true
801181.SI,房地产开发(申万),sw_secondary,true
801183.SI,房地产服务(申万),sw_secondary,true
801191.SI,多元金融(申万),sw_secondary,true
801193.SI,证券Ⅱ(申万),sw_secondary,true
801194.SI,保险Ⅱ(申万),sw_secondary,true
801202.SI,贸易Ⅱ(申万),sw_secondary,true
801203.SI,一般零售(申万),sw_secondary,true
801204.SI,专业连锁Ⅱ(申万),sw_secondary,true
801206.SI,互联网电商(申万),sw_secondary,true
801207.SI,旅游零售Ⅱ(申万),sw_secondary,true
801216.SI,体育Ⅱ(申万),sw_secondary,true
801217.SI,本地生活服务Ⅱ(申万),sw_secondary,true
801218.SI,专业服务(申万),sw_secondary,true
801219.SI,酒店餐饮(申万),sw_secondary,true
801223.SI,通信服务(申万),sw_secondary,true
801231.SI,综合Ⅱ(申万),sw_secondary,true
801711.SI,水泥(申万),sw_secondary,true
801712.SI,玻璃玻纤(申万),sw_secondary,true
801713.SI,装修建材(申万),sw_secondary,true
801721.SI,房屋建设Ⅱ(申万),sw_secondary,true
801722.SI,装修装饰Ⅱ(申万),sw_secondary,true
801723.SI,基础建设(申万),sw_secondary,true
801724.SI,专业工程(申万),sw_secondary,true
801726.SI,工程咨询服务Ⅱ(申万),sw_secondary,true
801731.SI,电机Ⅱ(申万),sw_secondary,true
801733.SI,其他电源设备Ⅱ(申万),sw_secondary,true
801735.SI,光伏设备(申万),sw_secondary,true
801736.SI,风电设备(申万),sw_secondary,true
801737.SI,电池(申万),sw_secondary,true
801738.SI,电网设备(申万),sw_secondary,true
801741.SI,航天装备Ⅱ(申万),sw_secondary,true
801742.SI,航空装备Ⅱ(申万),sw_secondary,true
801743.SI,地面兵装Ⅱ(申万),sw_secondary,true
801744.SI,航海装备Ⅱ(申万),sw_secondary,true
801745.SI,军工电子Ⅱ(申万),sw_secondary,true
801764.SI,游戏Ⅱ(申万),sw_secondary,true
801765.SI,广告营销(申万),sw_secondary,true
801766.SI,影视院线(申万),sw_secondary,true
801767.SI,数字媒体(申万),sw_secondary,true
801768.SI,社交Ⅱ(申万),sw_secondary,true
801769.SI,出版(申万),sw_secondary,true
801782.SI,国有大型银行Ⅱ(申万),sw_secondary,true
801783.SI,股份制银行Ⅱ(申万),sw_secondary,true
801784.SI,城商行Ⅱ(申万),sw_secondary,true
801785.SI,农商行Ⅱ(申万),sw_secondary,true
801786.SI,其他银行Ⅱ(申万),sw_secondary,true
801881.SI,摩托车及其他(申万),sw_secondary,true
801951.SI,煤炭开采(申万),sw_secondary,true
801952.SI,焦炭Ⅱ(申万),sw_secondary,true
801961.SI,油气开采Ⅱ(申万),sw_secondary,true
801962.SI,油服工程(申万),sw_secondary,true
801963.SI,炼化及贸易(申万),sw_secondary,true
801971.SI,环境治理(申万),sw_secondary,true
801972.SI,环保设备Ⅱ(申万),sw_secondary,true
801981.SI,个护用品(申万),sw_secondary,true
801982.SI,化妆品(申万),sw_secondary,true
801983.SI,医疗美容(申万),sw_secondary,true
801991.SI,航空机场(申万),sw_secondary,true
801992.SI,航运港口(申万),sw_secondary,true
801993.SI,旅游及景区(申万),sw_secondary,true
801994.SI,教育(申万),sw_secondary,true
801995.SI,电视广播Ⅱ(申万),sw_secondary,true
801005.SI,申万创业,theme,true
801007.SI,申万宏源专精特新,theme,true
801250.SI,申万制造,theme,true
801260.SI,申万消费,theme,true
801270.SI,申万投资,theme,true
801280.SI,申万服务,theme,true
802601.SI,申万宏源碳中和指数,theme,true
802603.SI,SWHY绿色金融,theme,true
802604.SI,SWHY养老金融,theme,true
802605.SI,SWHY数字金融,theme,true
802606.SI,SWHY反内卷,theme,true
802607.SI,SWHY一带一路,theme,true
